Job Number,City,Title,Company,Location,Skills,Posted,Link
509,kolkata,ENM Developer,transtrack,"Kolkata,  Pune,  Bengaluru / Bangalore","telecom technologies
   				

   					oss
   				

   					docker
   				

   					nms
   				

   					telecom oss
   				

   					devops
   				

   					linux
   				

   					python
   				

   					telecom domain
   				

   					mobile
   				

   					network management
   				

   					software developer",Posted 2 days ago,https://www.timesjobs.com/job-detail/enm-developer-transtrack-kolkata-pune-bengaluru-bangalore-2-to-5-yrs-jobid-M9qd__PLUS__MV71K1zpSvf__PLUS__uAgZw==&source=srp
510,kolkata,IAM DevOps Engineer,transtrack,"Gurgaon,  Delhi,  Delhi/NCR,  Kolkata,  Bengaluru / Bangalore","css
   				

   					html5
   				

   					bootstrap
   				

   					jquery
   				

   					java
   				

   					iam
   				

   					devops
   				

   					mysql
   				

   					python
   				

   					rdbms
   				

   					oracle
   				

   					javascript
   				

   					spring boot
   				

   					groovy
   				

   					software developer",Posted 2 days ago,https://www.timesjobs.com/job-detail/iam-devops-engineer-transtrack-gurgaon-delhi-delhi-ncr-kolkata-bengaluru-bangalore-2-to-6-yrs-jobid-Bn8CMKvRrm9zpSvf__PLUS__uAgZw==&source=srp
511,kolkata,"IT Developer,web developer",Laxmi Infotech,"Ahmedabad,  Delhi/NCR,  Gurgaon,  Kolkata,  Noida/Greater Noida","Sql
   				

   					c ++
   				

   					Java
   				

   					Html
   				

   					Javascript
   				

   					Mysql
   				

   					Photoshop
   				

   					Adobe Photoshop
   				

   					Macromedia Flash
   				

   					Sound Forge
   				

   					C
   				

   					Php
   				

   					Java Script
   				

   					Ajax",Posted 2 days ago,https://www.timesjobs.com/job-detail/it-developer-web-developer-laxmi-infotech-ahmedabad-delhi-ncr-gurgaon-kolkata-noida-greater-noida-0-to-3-yrs-jobid-G__SLASH__YT4fiCVZRzpSvf__PLUS__uAgZw==&source=srp
512,kolkata,Network Administrator I,Laxmi Infotech,"Ahmedabad,  Gurgaon,  Kolkata,  Noida/Greater Noida,  Pune","system admin
   				

   					hardware network engineer
   				

   					desktop engineer
   				

   					network engineer
   				

   					system engineer
   				

   					system administrator
   				

   					windows
   				

   					Linux Server
   				

   					Unix",Posted 2 days ago,https://www.timesjobs.com/job-detail/network-administrator-i-laxmi-infotech-ahmedabad-gurgaon-kolkata-noida-greater-noida-pune-0-to-3-yrs-jobid-5R7fh__PLUS__bGeo9zpSvf__PLUS__uAgZw==&source=srp
513,kolkata,Cloud Support Engineer,bentley systems pvt ltd,"Chennai,  Mumbai,  Delhi,  Pune,  Kolkata","technical support
   				

   					customer service
   				

   					problem solving
   				

   					networking knowledge
   				

   					documentation skills
   				

   					user interaction
   				

   					oracle
   				

   					mining
   				

   					servicenow
   				

   					infrastructure engineering
   				

   					debugging
   				

   					windows
   				

   					project delivery",3 days ago,https://www.timesjobs.com/job-detail/cloud-support-engineer-bentley-systems-pvt-ltd-chennai-mumbai-delhi-pune-kolkata-2-to-3-yrs-jobid-an7lj__SLASH__BffaZzpSvf__PLUS__uAgZw==&source=srp
514,kolkata,Azure Data Engineer,Indus Net Technologies,Kolkata,"azure data lake
   				

   					data factory pipelines
   				

   					sql server bi
   				

   					data architecture design
   				

   					etl processing
   				

   					ssas
   				

   					data engineer
   				

   					storage
   				

   					ssis",3 days ago,https://www.timesjobs.com/job-detail/azure-data-engineer-indus-net-technologies-kolkata-3-to-5-yrs-jobid-vEWKa0SkcGhzpSvf__PLUS__uAgZw==&source=srp
515,kolkata,Sitecore Consultant,Indus Net Technologies,Kolkata,"sitecore development
   				

   					c#
   				

   					net programming
   				

   					mvc framework
   				

   					web api implementation
   				

   					ado
   				

   					net proficiency
   				

   					rest
   				

   					css
   				

   					ado.net
   				

   					javascript
   				

   					jquery
   				

   					sql
   				

   					linq
   				

   					database
   				

   					c# .net
   				

   					git
   				

   					asp.net
   				

   					json
   				

   					html
   				

   					forms",3 days ago,https://www.timesjobs.com/job-detail/sitecore-consultant-indus-net-technologies-kolkata-3-to-7-yrs-jobid-ENJ149wiDkdzpSvf__PLUS__uAgZw==&source=srp
516,kolkata,PHP Lead - Kolkata,Indus Net Technologies,"Kolkata,  Gurgaon","php programming
   				

   					project management
   				

   					agile methodologies
   				

   					rest api development
   				

   					team leadership
   				

   					laravel
   				

   					php developer
   				

   					database
   				

   					codeigniter
   				

   					management systems
   				

   					mysql
   				

   					mvc
   				

   					technical skills",3 days ago,https://www.timesjobs.com/job-detail/php-lead-kolkata-indus-net-technologies-kolkata-gurgaon-7-to-10-yrs-jobid-7Syz__PLUS__zTeOAtzpSvf__PLUS__uAgZw==&source=srp
517,kolkata,Field Application Specialist - Filtration Technology (Bangladesh),SARTORIUS,Kolkata,"technical support expertise
   				

   					product demonstration skills
   				

   					application development knowledge
   				

   					customer orientation ability
   				

   					communication and presentation skills",3 days ago,https://www.timesjobs.com/job-detail/field-application-specialist-filtration-technology-bangladesh-sartorius-kolkata-5-to-10-yrs-jobid-a8agd5UZwT9zpSvf__PLUS__uAgZw==&source=srp
518,kolkata,Murex Open Connect Integration: Developer,SYNECHRON,"Mumbai,  Kolkata","murex integration expertise
   				

   					java development proficiency
   				

   					devops knowledge
   				

   					test automation experience
   				

   					integration frameworks understanding
   				

   					information technology
   				

   					mockito
   				

   					software requirements
   				

   					intellij idea
   				

   					oop
   				

   					apache
   				

   					git
   				

   					camel
   				

   					data structures
   				

   					api
   				

   					technical skills",3 days ago,https://www.timesjobs.com/job-detail/murex-open-connect-integration-developer-synechron-mumbai-kolkata-3-to-5-yrs-jobid-yENnDRh32o5zpSvf__PLUS__uAgZw==&source=srp
519,kolkata,GN - Strategy - MC - CFO EV  Enabling Technologies - Consultant,accenture,"Mumbai,  Bengaluru / Bangalore,  Hyderabad/Secunderabad,  Kolkata,  Gurgaon","financial technology solutions
   				

   					business process reengineering
   				

   					process transition management
   				

   					client engagement strategies
   				

   					data modeling techniques
   				

   					global delivery
   				

   					oracle
   				

   					consultant
   				

   					project delivery",3 days ago,https://www.timesjobs.com/job-detail/gn-strategy-mc-cfo-ev-enabling-technologies-consultant-accenture-mumbai-bengaluru-bangalore-hyderabad-secunderabad-kolkata-gurgaon-2-to-8-yrs-jobid-R0OCmaaV1pRzpSvf__PLUS__uAgZw==&source=srp
520,kolkata,Java Fullstack Developer,Indus Net Technologies,Kolkata,"java programming
   				

   					spring boot
   				

   					cloud services
   				

   					frontend development
   				

   					agile methodologies
   				

   					algorithms
   				

   					orchestration
   				

   					linux scripting
   				

   					docker
   				

   					devops
   				

   					data structures
   				

   					perl
   				

   					middleware
   				

   					python
   				

   					github
   				

   					jdk
   				

   					infrastructure
   				

   					environment management",3 days ago,https://www.timesjobs.com/job-detail/java-fullstack-developer-indus-net-technologies-kolkata-3-to-5-yrs-jobid-Zq7wbI4BtMZzpSvf__PLUS__uAgZw==&source=srp
521,kolkata,CoS (5G Signalling),Saggio Insurance Marketing Pvt Ltd,"Delhi,  Delhi/NCR,  Kolkata,  Pune,  Bengaluru / Bangalore","telecom protocols
   				

   					telecommunication
   				

   					diameter
   				

   					ss7
   				

   					solution architect
   				

   					testing
   				

   					integration testing
   				

   					openstack
   				

   					nfv",Posted 2 days ago,https://www.timesjobs.com/job-detail/cos-5g-signalling-saggio-insurance-marketing-pvt-ltd-delhi-delhi-ncr-kolkata-pune-bengaluru-bangalore-3-to-12-yrs-jobid-3zIC__PLUS__94014VzpSvf__PLUS__uAgZw==&source=srp
522,kolkata,CI/CD Developer,Saggio Insurance Marketing Pvt Ltd,"Delhi,  Delhi/NCR,  Kolkata,  Pune,  Bengaluru / Bangalore","docker
   				

   					git
   				

   					java
   				

   					devops
   				

   					web development
   				

   					perl
   				

   					vms
   				

   					python
   				

   					linux operating system
   				

   					software delivery
   				

   					groovy",Posted 2 days ago,https://www.timesjobs.com/job-detail/ci-cd-developer-saggio-insurance-marketing-pvt-ltd-delhi-delhi-ncr-kolkata-pune-bengaluru-bangalore-4-to-7-yrs-jobid-nf3Fu0__SLASH__ZpnZzpSvf__PLUS__uAgZw==&source=srp
523,kolkata,Senior RHOS Solution Specialists,Saggio Insurance Marketing Pvt Ltd,"Gurgaon,  Chennai,  Kolkata,  Pune,  Bengaluru / Bangalore","kvm
   				

   					storage
   				

   					redhat
   				

   					vm
   				

   					vms",Posted 2 days ago,https://www.timesjobs.com/job-detail/senior-rhos-solution-specialists-saggio-insurance-marketing-pvt-ltd-gurgaon-chennai-kolkata-pune-bengaluru-bangalore-2-to-5-yrs-jobid-7l1UU5mB0SRzpSvf__PLUS__uAgZw==&source=srp
524,kolkata,Java Developer with IAM DevOps,Saggio Insurance Marketing Pvt Ltd,"Delhi/NCR,  Kolkata,  Pune,  Bengaluru / Bangalore","css
   				

   					html5
   				

   					bootstrap
   				

   					jquery
   				

   					java
   				

   					iam
   				

   					devops
   				

   					mysql
   				

   					python
   				

   					rdbms
   				

   					oracle
   				

   					javascript
   				

   					java developer
   				

   					groovy
   				

   					forms",Posted 2 days ago,https://www.timesjobs.com/job-detail/java-developer-with-iam-devops-saggio-insurance-marketing-pvt-ltd-delhi-ncr-kolkata-pune-bengaluru-bangalore-2-to-6-yrs-jobid-oeiRhsbb0UdzpSvf__PLUS__uAgZw==&source=srp
525,kolkata,MSDP Solution Integrator (System Engineer),Saggio Insurance Marketing Pvt Ltd,"Delhi/NCR,  Kolkata,  Pune,  Bengaluru / Bangalore","orchestration
   				

   					information technology
   				

   					ip networking
   				

   					snmp
   				

   					oss
   				

   					j2me
   				

   					java
   				

   					diameter
   				

   					xml
   				

   					shell scripting
   				

   					mysql
   				

   					oracle
   				

   					network management
   				

   					messaging
   				

   					unix
   				

   					soap
   				

   					hss
   				

   					internet technologies
   				

   					database
   				

   					security
   				

   					linux
   				

   					telecom
   				

   					perl
   				

   					solution integration
   				

   					mobile
   				

   					weblogic
   				

   					team player
   				

   					multimedia",Posted 2 days ago,https://www.timesjobs.com/job-detail/msdp-solution-integrator-system-engineer-saggio-insurance-marketing-pvt-ltd-delhi-ncr-kolkata-pune-bengaluru-bangalore-3-to-6-yrs-jobid-PmxZKvqSZWVzpSvf__PLUS__uAgZw==&source=srp
526,kolkata,BSCS Consultant,Saggio Insurance Marketing Pvt Ltd,"Kolkata,  Pune,  Bengaluru / Bangalore","gsm
   				

   					r2
   				

   					orchestration
   				

   					java
   				

   					linux
   				

   					telecom
   				

   					shell scripting
   				

   					mediation
   				

   					pl / sql
   				

   					technical skills
   				

   					rest
   				

   					solution architect
   				

   					mobile
   				

   					bscs
   				

   					multimedia
   				

   					consultant
   				

   					oracle sql
   				

   					soap",Posted 2 days ago,https://www.timesjobs.com/job-detail/bscs-consultant-saggio-insurance-marketing-pvt-ltd-kolkata-pune-bengaluru-bangalore-8-to-10-yrs-jobid-f0IeJ9jNj__PLUS__pzpSvf__PLUS__uAgZw==&source=srp
527,kolkata,Orchestration,Saggio Insurance Marketing Pvt Ltd,"Kolkata,  Pune,  Bengaluru / Bangalore","system deployment
   				

   					rhcsa
   				

   					oss
   				

   					linux
   				

   					hypervisor
   				

   					telecom
   				

   					oracle
   				

   					os
   				

   					virtualization
   				

   					vmware
   				

   					redhat
   				

   					rhce
   				

   					vm
   				

   					openstack
   				

   					oss / bss
   				

   					sql database",Posted 2 days ago,https://www.timesjobs.com/job-detail/orchestration-saggio-insurance-marketing-pvt-ltd-kolkata-pune-bengaluru-bangalore-2-to-6-yrs-jobid-LS7esEojX9lzpSvf__PLUS__uAgZw==&source=srp
528,kolkata,OSS EVNFM (Orchestration),Saggio Insurance Marketing Pvt Ltd,"Delhi,  Delhi/NCR,  Kolkata,  Pune,  Bengaluru / Bangalore","rhcsa
   				

   					3gpp
   				

   					telecommunication
   				

   					oss
   				

   					hypervisor
   				

   					virtualization
   				

   					system management
   				

   					network management
   				

   					vm
   				

   					unix shell
   				

   					openstack
   				

   					sdn
   				

   					nfv",Posted 2 days ago,https://www.timesjobs.com/job-detail/oss-evnfm-orchestration-saggio-insurance-marketing-pvt-ltd-delhi-delhi-ncr-kolkata-pune-bengaluru-bangalore-3-to-12-yrs-jobid-c3TQhaMbGMxzpSvf__PLUS__uAgZw==&source=srp
529,kolkata,Senior RHOS Solution Specialists,transtrack,"Gurgaon,  Chennai,  Kolkata,  Pune,  Bengaluru / Bangalore","kvm
   				

   					storage
   				

   					redhat
   				

   					vm
   				

   					vms",Posted 2 days ago,https://www.timesjobs.com/job-detail/senior-rhos-solution-specialists-transtrack-gurgaon-chennai-kolkata-pune-bengaluru-bangalore-2-to-5-yrs-jobid-__PLUS__9FXR2__SLASH__IBCdzpSvf__PLUS__uAgZw==&source=srp
530,kolkata,UDM Consultant,transtrack,"Gurgaon,  Kolkata,  Pune,  Bengaluru / Bangalore","lld
   				

   					telecom domain
   				

   					hss
   				

   					problem solving
   				

   					consultant
   				

   					software developer",Posted 2 days ago,https://www.timesjobs.com/job-detail/udm-consultant-transtrack-gurgaon-kolkata-pune-bengaluru-bangalore-5-to-8-yrs-jobid-q2dlLakrf7xzpSvf__PLUS__uAgZw==&source=srp
531,kolkata,Order Management (COTS),transtrack,"Gurgaon,  Delhi,  Delhi/NCR,  Kolkata,  Pune","xsd
   				

   					sql
   				

   					database
   				

   					java
   				

   					xml
   				

   					devops
   				

   					j2ee
   				

   					telecom
   				

   					rest
   				

   					c
   				

   					oracle
   				

   					telecom domain
   				

   					eclipse
   				

   					groovy
   				

   					cassandra
   				

   					software developer
   				

   					soap",Posted 2 days ago,https://www.timesjobs.com/job-detail/order-management-cots-transtrack-gurgaon-delhi-delhi-ncr-kolkata-pune-3-to-8-yrs-jobid-e0lAYUahFSlzpSvf__PLUS__uAgZw==&source=srp
532,kolkata,Java Developer with IAM DevOps,transtrack,"Kolkata,  Pune,  Bengaluru / Bangalore","css
   				

   					html5
   				

   					bootstrap
   				

   					jquery
   				

   					java
   				

   					iam
   				

   					devops
   				

   					mysql
   				

   					python
   				

   					rdbms
   				

   					oracle
   				

   					javascript
   				

   					java developer
   				

   					groovy
   				

   					forms",Posted 2 days ago,https://www.timesjobs.com/job-detail/java-developer-with-iam-devops-transtrack-kolkata-pune-bengaluru-bangalore-2-to-6-yrs-jobid-UISXr69q__PLUS__BFzpSvf__PLUS__uAgZw==&source=srp
533,kolkata,Charging systems | Solution Integrator and Architect,transtrack,"Kolkata,  Pune,  Bengaluru / Bangalore","jsp
   				

   					java
   				

   					diameter
   				

   					linux administration
   				

   					ss7
   				

   					vxml
   				

   					xml
   				

   					linux
   				

   					j2ee
   				

   					shell scripting
   				

   					os
   				

   					ivr
   				

   					inap
   				

   					cassandra
   				

   					infrastructure
   				

   					unix
   				

   					sdp",Posted 2 days ago,https://www.timesjobs.com/job-detail/charging-systems-solution-integrator-and-architect-transtrack-kolkata-pune-bengaluru-bangalore-3-to-8-yrs-jobid-DWMVRncmZtxzpSvf__PLUS__uAgZw==&source=srp
534,kolkata,ENM Developer,transtrack,"Kolkata,  Pune,  Bengaluru / Bangalore","telecom technologies
   				

   					oss
   				

   					docker
   				

   					nms
   				

   					telecom oss
   				

   					devops
   				

   					linux
   				

   					python
   				

   					telecom domain
   				

   					mobile
   				

   					network management
   				

   					software developer",Posted 2 days ago,https://www.timesjobs.com/job-detail/enm-developer-transtrack-kolkata-pune-bengaluru-bangalore-2-to-5-yrs-jobid-M9qd__PLUS__MV71K1zpSvf__PLUS__uAgZw==&source=srp
535,kolkata,IAM DevOps Engineer,transtrack,"Gurgaon,  Delhi,  Delhi/NCR,  Kolkata,  Bengaluru / Bangalore","css
   				

   					html5
   				

   					bootstrap
   				

   					jquery
   				

   					java
   				

   					iam
   				

   					devops
   				

   					mysql
   				

   					python
   				

   					rdbms
   				

   					oracle
   				

   					javascript
   				

   					spring boot
   				

   					groovy
   				

   					software developer",Posted 2 days ago,https://www.timesjobs.com/job-detail/iam-devops-engineer-transtrack-gurgaon-delhi-delhi-ncr-kolkata-bengaluru-bangalore-2-to-6-yrs-jobid-Bn8CMKvRrm9zpSvf__PLUS__uAgZw==&source=srp
536,kolkata,"IT Developer,web developer",Laxmi Infotech,"Ahmedabad,  Delhi/NCR,  Gurgaon,  Kolkata,  Noida/Greater Noida","Sql
   				

   					c ++
   				

   					Java
   				

   					Html
   				

   					Javascript
   				

   					Mysql
   				

   					Photoshop
   				

   					Adobe Photoshop
   				

   					Macromedia Flash
   				

   					Sound Forge
   				

   					C
   				

   					Php
   				

   					Java Script
   				

   					Ajax",Posted 2 days ago,https://www.timesjobs.com/job-detail/it-developer-web-developer-laxmi-infotech-ahmedabad-delhi-ncr-gurgaon-kolkata-noida-greater-noida-0-to-3-yrs-jobid-G__SLASH__YT4fiCVZRzpSvf__PLUS__uAgZw==&source=srp
537,kolkata,Network Administrator I,Laxmi Infotech,"Ahmedabad,  Gurgaon,  Kolkata,  Noida/Greater Noida,  Pune","system admin
   				

   					hardware network engineer
   				

   					desktop engineer
   				

   					network engineer
   				

   					system engineer
   				

   					system administrator
   				

   					windows
   				

   					Linux Server
   				

   					Unix",Posted 2 days ago,https://www.timesjobs.com/job-detail/network-administrator-i-laxmi-infotech-ahmedabad-gurgaon-kolkata-noida-greater-noida-pune-0-to-3-yrs-jobid-5R7fh__PLUS__bGeo9zpSvf__PLUS__uAgZw==&source=srp
538,kolkata,Cloud Support Engineer,bentley systems pvt ltd,"Chennai,  Mumbai,  Delhi,  Pune,  Kolkata","technical support
   				

   					customer service
   				

   					problem solving
   				

   					networking knowledge
   				

   					documentation skills
   				

   					user interaction
   				

   					oracle
   				

   					mining
   				

   					servicenow
   				

   					infrastructure engineering
   				

   					debugging
   				

   					windows
   				

   					project delivery",3 days ago,https://www.timesjobs.com/job-detail/cloud-support-engineer-bentley-systems-pvt-ltd-chennai-mumbai-delhi-pune-kolkata-2-to-3-yrs-jobid-an7lj__SLASH__BffaZzpSvf__PLUS__uAgZw==&source=srp
539,kolkata,Azure Data Engineer,Indus Net Technologies,Kolkata,"azure data lake
   				

   					data factory pipelines
   				

   					sql server bi
   				

   					data architecture design
   				

   					etl processing
   				

   					ssas
   				

   					data engineer
   				

   					storage
   				

   					ssis",3 days ago,https://www.timesjobs.com/job-detail/azure-data-engineer-indus-net-technologies-kolkata-3-to-5-yrs-jobid-vEWKa0SkcGhzpSvf__PLUS__uAgZw==&source=srp
540,kolkata,Sitecore Consultant,Indus Net Technologies,Kolkata,"sitecore development
   				

   					c#
   				

   					net programming
   				

   					mvc framework
   				

   					web api implementation
   				

   					ado
   				

   					net proficiency
   				

   					rest
   				

   					css
   				

   					ado.net
   				

   					javascript
   				

   					jquery
   				

   					sql
   				

   					linq
   				

   					database
   				

   					c# .net
   				

   					git
   				

   					asp.net
   				

   					json
   				

   					html
   				

   					forms",3 days ago,https://www.timesjobs.com/job-detail/sitecore-consultant-indus-net-technologies-kolkata-3-to-7-yrs-jobid-ENJ149wiDkdzpSvf__PLUS__uAgZw==&source=srp
541,kolkata,PHP Lead - Kolkata,Indus Net Technologies,"Kolkata,  Gurgaon","php programming
   				

   					project management
   				

   					agile methodologies
   				

   					rest api development
   				

   					team leadership
   				

   					laravel
   				

   					php developer
   				

   					database
   				

   					codeigniter
   				

   					management systems
   				

   					mysql
   				

   					mvc
   				

   					technical skills",3 days ago,https://www.timesjobs.com/job-detail/php-lead-kolkata-indus-net-technologies-kolkata-gurgaon-7-to-10-yrs-jobid-7Syz__PLUS__zTeOAtzpSvf__PLUS__uAgZw==&source=srp
542,kolkata,Field Application Specialist - Filtration Technology (Bangladesh),SARTORIUS,Kolkata,"technical support expertise
   				

   					product demonstration skills
   				

   					application development knowledge
   				

   					customer orientation ability
   				

   					communication and presentation skills",3 days ago,https://www.timesjobs.com/job-detail/field-application-specialist-filtration-technology-bangladesh-sartorius-kolkata-5-to-10-yrs-jobid-a8agd5UZwT9zpSvf__PLUS__uAgZw==&source=srp
543,kolkata,Murex Open Connect Integration: Developer,SYNECHRON,"Mumbai,  Kolkata","murex integration expertise
   				

   					java development proficiency
   				

   					devops knowledge
   				

   					test automation experience
   				

   					integration frameworks understanding
   				

   					information technology
   				

   					mockito
   				

   					software requirements
   				

   					intellij idea
   				

   					oop
   				

   					apache
   				

   					git
   				

   					camel
   				

   					data structures
   				

   					api
   				

   					technical skills",3 days ago,https://www.timesjobs.com/job-detail/murex-open-connect-integration-developer-synechron-mumbai-kolkata-3-to-5-yrs-jobid-yENnDRh32o5zpSvf__PLUS__uAgZw==&source=srp
544,kolkata,GN - Strategy - MC - CFO EV  Enabling Technologies - Consultant,accenture,"Mumbai,  Bengaluru / Bangalore,  Hyderabad/Secunderabad,  Kolkata,  Gurgaon","financial technology solutions
   				

   					business process reengineering
   				

   					process transition management
   				

   					client engagement strategies
   				

   					data modeling techniques
   				

   					global delivery
   				

   					oracle
   				

   					consultant
   				

   					project delivery",3 days ago,https://www.timesjobs.com/job-detail/gn-strategy-mc-cfo-ev-enabling-technologies-consultant-accenture-mumbai-bengaluru-bangalore-hyderabad-secunderabad-kolkata-gurgaon-2-to-8-yrs-jobid-R0OCmaaV1pRzpSvf__PLUS__uAgZw==&source=srp
545,kolkata,Java Fullstack Developer,Indus Net Technologies,Kolkata,"java programming
   				

   					spring boot
   				

   					cloud services
   				

   					frontend development
   				

   					agile methodologies
   				

   					algorithms
   				

   					orchestration
   				

   					linux scripting
   				

   					docker
   				

   					devops
   				

   					data structures
   				

   					perl
   				

   					middleware
   				

   					python
   				

   					github
   				

   					jdk
   				

   					infrastructure
   				

   					environment management",3 days ago,https://www.timesjobs.com/job-detail/java-fullstack-developer-indus-net-technologies-kolkata-3-to-5-yrs-jobid-Zq7wbI4BtMZzpSvf__PLUS__uAgZw==&source=srp
546,chennai,PLSQL Developer,virtusa consulting services pvt. ltd.,"Chennai,  Hyderabad/Secunderabad","plsql development
   				

   					database optimization
   				

   					oracle sql queries
   				

   					data modeling
   				

   					code review
   				

   					database development
   				

   					plsql developer
   				

   					oracle developer
   				

   					sqlplus
   				

   					toad
   				

   					triggers
   				

   					oracle 11g",1 day ago,https://www.timesjobs.com/job-detail/plsql-developer-virtusa-consulting-services-pvt-ltd-chennai-hyderabad-secunderabad-8-to-11-yrs-jobid-LIWPLiZcaPpzpSvf__PLUS__uAgZw==&source=srp
547,chennai,Senior QA Automation,virtusa consulting services pvt. ltd.,"Chennai,  Hyderabad/Secunderabad","qa java
   				

   					selenium webdriver
   				

   					api testing
   				

   					testing methodologies
   				

   					test management tools
   				

   					test cases
   				

   					sql
   				

   					test data
   				

   					functional testing
   				

   					ui
   				

   					test strategy
   				

   					jira
   				

   					automation testing
   				

   					qa lead
   				

   					agile",1 day ago,https://www.timesjobs.com/job-detail/senior-qa-automation-virtusa-consulting-services-pvt-ltd-chennai-hyderabad-secunderabad-8-to-10-yrs-jobid-QmL7SSVxK89zpSvf__PLUS__uAgZw==&source=srp
548,chennai,HIL System Testing Engineer Job Details | ZF Group,zf friedrichshafen -itc,Chennai,"hil testing systems
   				

   					test automation
   				

   					automotive protocols
   				

   					requirement analysis
   				

   					problem reporting tools
   				

   					test management
   				

   					tester
   				

   					stress
   				

   					system testing
   				

   					loading
   				

   					test engineer",1 day ago,https://www.timesjobs.com/job-detail/hil-system-testing-engineer-job-details-zf-group-zf-friedrichshafen-itc-chennai-2-to-5-yrs-jobid-xZ709s4A52xzpSvf__PLUS__uAgZw==&source=srp
549,chennai,Developer - L3,Wipro Technologies Ltd,Chennai,"software development   quality assurance   problem analysis   code optimization   customer interaction
   				

   					continuous integration
   				

   					test cases
   				

   					software development life cycle
   				

   					usability
   				

   					software validation",1 day ago,https://www.timesjobs.com/job-detail/developer-l3-wipro-technologies-ltd-chennai-2-to-5-yrs-jobid-eJ6lRLLedj9zpSvf__PLUS__uAgZw==&source=srp
550,chennai,Developer - L3,Wipro Technologies Ltd,Chennai,"software development life cycle
   				

   					code quality assurance
   				

   					requirement analysis
   				

   					software testing automation
   				

   					client interaction management
   				

   					continuous integration
   				

   					test cases
   				

   					usability
   				

   					software validation",1 day ago,https://www.timesjobs.com/job-detail/developer-l3-wipro-technologies-ltd-chennai-3-to-5-yrs-jobid-gvtOO3eEcR9zpSvf__PLUS__uAgZw==&source=srp
551,chennai,Developer - L4,Wipro Technologies Ltd,Chennai,"software development
   				

   					quality assurance
   				

   					problem solving
   				

   					system analysis
   				

   					documentation skills
   				

   					continuous integration
   				

   					test cases
   				

   					software development life cycle
   				

   					usability
   				

   					software validation",1 day ago,https://www.timesjobs.com/job-detail/developer-l4-wipro-technologies-ltd-chennai-2-to-5-yrs-jobid-in86kKLgGXxzpSvf__PLUS__uAgZw==&source=srp
552,chennai,Engineer III Consultant - DevOps,Verizon Data Services India Pvt Ltd,"Chennai,  Hyderabad/Secunderabad","aws s knowledge
   				

   					next
   				

   					js proficiency
   				

   					node
   				

   					js experience
   				

   					github expertise
   				

   					non sql databases
   				

   					css
   				

   					react.js
   				

   					security
   				

   					iam
   				

   					json
   				

   					telecom
   				

   					javascript
   				

   					node.js",1 day ago,https://www.timesjobs.com/job-detail/engineer-iii-consultant-devops-verizon-data-services-india-pvt-ltd-chennai-hyderabad-secunderabad-7-to-10-yrs-jobid-Y5SmSa4dAOVzpSvf__PLUS__uAgZw==&source=srp
553,chennai,Consultant - Product Management - AI/ML,Verizon Data Services India Pvt Ltd,"Chennai,  Hyderabad/Secunderabad","ai accelerator technologies
   				

   					product management
   				

   					e commerce experience
   				

   					analytical problem solving
   				

   					cross functional team leadership
   				

   					design thinking
   				

   					consulting
   				

   					predictive analytics
   				

   					statistical analysis",1 day ago,https://www.timesjobs.com/job-detail/consultant-product-management-ai-ml-verizon-data-services-india-pvt-ltd-chennai-hyderabad-secunderabad-7-to-10-yrs-jobid-xLBvVmrfVPtzpSvf__PLUS__uAgZw==&source=srp
554,chennai,Security Consultant III-Network & Information Security,Verizon Data Services India Pvt Ltd,"Chennai,  Hyderabad/Secunderabad","network security
   				

   					access management
   				

   					risk compliance
   				

   					cyber threats
   				

   					analytical problem solving
   				

   					information technology
   				

   					fundamentals
   				

   					hosting
   				

   					linux
   				

   					operating system
   				

   					infrastructure
   				

   					infrastructure security",1 day ago,https://www.timesjobs.com/job-detail/security-consultant-iii-network-information-security-verizon-data-services-india-pvt-ltd-chennai-hyderabad-secunderabad-4-to-7-yrs-jobid-DUm7KbBwai1zpSvf__PLUS__uAgZw==&source=srp
555,chennai,Specialist-Product Management - AI/ML,Verizon Data Services India Pvt Ltd,"Chennai,  Hyderabad/Secunderabad","ai accelerator technologies
   				

   					product management
   				

   					market analysis
   				

   					agile development
   				

   					customer experience enhancement
   				

   					user stories
   				

   					design thinking
   				

   					data analytics
   				

   					consulting",1 day ago,https://www.timesjobs.com/job-detail/specialist-product-management-ai-ml-verizon-data-services-india-pvt-ltd-chennai-hyderabad-secunderabad-4-to-7-yrs-jobid-aFSGSgy4jSNzpSvf__PLUS__uAgZw==&source=srp
556,chennai,Sr Mgr-Technology Strategy,Verizon Data Services India Pvt Ltd,"Chennai,  Hyderabad/Secunderabad","pega decisioning hub
   				

   					data science skills
   				

   					relational databases
   				

   					executive presentation skills
   				

   					problem solving techniques
   				

   					technical leader
   				

   					information technology
   				

   					nosql",1 day ago,https://www.timesjobs.com/job-detail/sr-mgr-technology-strategy-verizon-data-services-india-pvt-ltd-chennai-hyderabad-secunderabad-6-to-9-yrs-jobid-__PLUS__t6qCVnlslVzpSvf__PLUS__uAgZw==&source=srp
